country,Country Code,population
Palau,PLW,17907
Panama,PAN,4176873
Papua New Guinea,PNG,8606316
Paraguay,PRY,6956071
Peru,PER,31989256
Philippines,PHL,106651922
Poland,POL,37978548
Portugal,PRT,10281762
Puerto Rico,PRI,3195153
Qatar,QAT,2781677
Romania,ROU,19473936
Russian Federation,RUS,144478050
Rwanda,RWA,12301939
Samoa,WSM,196130
San Marino,SMR,33785
Sao Tome and Principe,STP,211028
Saudi Arabia,SAU,33699947
Senegal,SEN,15854360
Serbia,SRB,6982084
Seychelles,SYC,96762
Sierra Leone,SLE,7650154
Singapore,SGP,5638676
Sint Maarten (Dutch part),SXM,40654
Slovak Republic,SVK,5447011
Slovenia,SVN,2067372
Solomon Islands,SLB,652858
Somalia,SOM,15008154
South Africa,ZAF,57779622
South Sudan,SSD,10975920
Spain,ESP,46723749
Sri Lanka,LKA,21670000
St. Vincent and the Grenadines,VCT,110210
Sudan,SDN,41801533
Suriname,SUR,575991
Sweden,SWE,10183175
Switzerland,CHE,8516543
Syrian Arab Republic,SYR,16906283
Tajikistan,TJK,9100837
Tanzania,TZA,56318348
Thailand,THA,69428524
Timor-Leste,TLS,1267972
Togo,TGO,7889094
Tonga,TON,103197
Trinidad and Tobago,TTO,1389858
Tunisia,TUN,11565204
Turkey,TUR,82319724
Turkmenistan,TKM,5850908
Turks and Caicos Islands,TCA,37665
Tuvalu,TUV,11508
Uganda,UGA,42723139
Ukraine,UKR,44622516
United Arab Emirates,ARE,9630959
United Kingdom,GBR,66488991
United States,USA,327167434
Uruguay,URY,3449299
Uzbekistan,UZB,32955400
Vanuatu,VUT,292680
"Venezuela, RB",VEN,28870195
Vietnam,VNM,95540395
Virgin Islands (U.S.),VIR,106977
West Bank and Gaza,PSE,4569087
"Yemen, Rep.",YEM,28498687
Zambia,ZMB,17351822
Zimbabwe,ZWE,14439018
